 Eigenvalue #           0  -55.557365026065639     
           0  -5.8799907018793540E-003
           1  -1.2803009593143740E-002
           2  -1.9518760403725220E-002
           3  -2.6290421647187676E-002
           4  -3.2977839958862526E-002
           5  -3.9646467764457557E-002
           6  -4.6234471890334750E-002
           7  -5.2765974109010606E-002
           8  -5.9202563595297894E-002
           9  -6.5552779493455837E-002
          10  -7.1788442209675660E-002
          11  -7.7910710948999110E-002
          12  -8.3896973866377136E-002
          13  -8.9744539219828140E-002
          14  -9.5434372045980778E-002
          15 -0.10096175368964901     
          16 -0.10631028241888060     
          17 -0.11147427867762429     
          18 -0.11643949712020120     
          19 -0.12119997183038571     
          20 -0.12574335856141777     
          21 -0.13006384959318831     
          22 -0.13415085119455378     
          23 -0.13799900688208855     
          24 -0.14159936713910631     
          25 -0.14494721014811776     
          26 -0.14803513666606036     
          27 -0.15085915952267978     
          28 -0.15341333374027943     
          29 -0.15569444419987441     
          30 -0.15769789988500249     
          31 -0.15942125234565616     
          32 -0.16086116566636416     
          33 -0.16201592909496559     
          34 -0.16288337423780538     
          35 -0.16346249294869658     
          36 -0.16375221864613840     
          37 -0.16375221864613851     
          38 -0.16346249294869653     
          39 -0.16288337423780591     
          40 -0.16201592909496568     
          41 -0.16086116566636338     
          42 -0.15942125234565474     
          43 -0.15769789988500049     
          44 -0.15569444419987144     
          45 -0.15341333374027602     
          46 -0.15085915952267609     
          47 -0.14803513666605561     
          48 -0.14494721014811315     
          49 -0.14159936713910254     
          50 -0.13799900688208527     
          51 -0.13415085119455070     
          52 -0.13006384959318387     
          53 -0.12574335856141117     
          54 -0.12119997183037758     
          55 -0.11643949712019240     
          56 -0.11147427867761542     
          57 -0.10631028241887251     
          58 -0.10096175368964160     
          59  -9.5434372045973381E-002
          60  -8.9744539219820424E-002
          61  -8.3896973866369060E-002
          62  -7.7910710948991921E-002
          63  -7.1788442209669429E-002
          64  -6.5552779493450591E-002
          65  -5.9202563595293245E-002
          66  -5.2765974109006311E-002
          67  -4.6234471890330794E-002
          68  -3.9646467764454185E-002
          69  -3.2977839958860278E-002
          70  -2.6290421647186559E-002
          71  -1.9518760403724640E-002
          72  -1.2803009593143535E-002
          73  -5.8799907018793514E-003
 ------------------------------------------------------
 Eigenvalue #           1  -52.804620685147924     
           0   1.1779488655869528E-002
           1   2.5586731835437890E-002
           2   3.8842326353448177E-002
           3   5.2003776208324450E-002
           4   6.4720364127583779E-002
           5   7.7057026106322132E-002
           6   8.8825347185234882E-002
           7  0.10001380987374062     
           8  0.11048851402731147     
           9  0.12021543103324299     
          10  0.12909087762015931     
          11  0.13707682567561605     
          12  0.14409234186627404     
          13  0.15010421136955515     
          14  0.15505178423820509     
          15  0.15891165538290858     
          16  0.16164266579688161     
          17  0.16323424582874432     
          18  0.16366440022472178     
          19  0.16293715262437411     
          20  0.16104929584537300     
          21  0.15802025141750917     
          22  0.15386494315414107     
          23  0.14861821293551503     
          24  0.14231207974478238     
          25  0.13499616515180030     
          26  0.12671814772823309     
          27  0.11754122894628403     
          28  0.10752693842102685     
          29   9.6750400797986857E-002
          30   8.5284870721963460E-002
          31   7.3215382974599286E-002
          32   6.0624542032157822E-002
          33   4.7605017574646087E-002
          34   3.4246208369331399E-002
          35   2.0645964384075649E-002
          36   6.8978047203382374E-003
          37  -6.8978047203742919E-003
          38  -2.0645964384110788E-002
          39  -3.4246208369364740E-002
          40  -4.7605017574678228E-002
          41  -6.0624542032187756E-002
          42  -7.3215382974626680E-002
          43  -8.5284870721988010E-002
          44  -9.6750400798008812E-002
          45 -0.10752693842104541     
          46 -0.11754122894629776     
          47 -0.12671814772824219     
          48 -0.13499616515180579     
          49 -0.14231207974478435     
          50 -0.14861821293551272     
          51 -0.15386494315413557     
          52 -0.15802025141750128     
          53 -0.16104929584536209     
          54 -0.16293715262436054     
          55 -0.16366440022470535     
          56 -0.16323424582872553     
          57 -0.16164266579686173     
          58 -0.15891165538288793     
          59 -0.15505178423818342     
          60 -0.15010421136953345     
          61 -0.14409234186625247     
          62 -0.13707682567559570     
          63 -0.12909087762014104     
          64 -0.12021543103322666     
          65 -0.11048851402729659     
          66 -0.10001380987372765     
          67  -8.8825347185224085E-002
          68  -7.7057026106313681E-002
          69  -6.4720364127577409E-002
          70  -5.2003776208319689E-002
          71  -3.8842326353444895E-002
          72  -2.5586731835435948E-002
          73  -1.1779488655868741E-002
 ------------------------------------------------------
 Eigenvalue #           2  -48.225311111517897     
           0   1.7704467597675591E-002
           1   3.8301591892138838E-002
           2   5.7731819889401875E-002
           3   7.6514137341351290E-002
           4   9.3962450652698787E-002
           5  0.11003093391345870     
           6  0.12431190737747529     
           7  0.13668473131455261     
           8  0.14687041903167256     
           9  0.15476591968270473     
          10  0.16019371392330947     
          11  0.16310364634753785     
          12  0.16341371331857643     
          13  0.16114296284834548     
          14  0.15630189508297535     
          15  0.14898459188648849     
          16  0.13928880482892445     
          17  0.12738179254214960     
          18  0.11343943067625403     
          19   9.7694030117318545E-002
          20   8.0386343392715193E-002
          21   6.1800502102913255E-002
          22   4.2225249366777469E-002
          23   2.1979416151606486E-002
          24   1.3801345371756372E-003
          25  -1.9238738459380650E-002
          26  -3.9552803966464420E-002
          27  -5.9233979837576230E-002
          28  -7.7971914922438532E-002
          29  -9.5464795937609898E-002
          30 -0.11143648760075225     
          31 -0.12563027642768881     
          32 -0.13782202072974467     
          33 -0.14781607688990084     
          34 -0.15545461586532339     
          35 -0.16061519436304361     
          36 -0.16321631961542352     
          37 -0.16321631961542407     
          38 -0.16061519436304422     
